S&P500,NASDAQ,Ibovespa,DAX30
3572.659912109375,11786.4296875,104532.0,13216.1796875
3537.010009765625,11709.58984375,102175.0,13052.9501953125
3585.14990234375,11829.2900390625,104512.0,13076.7197265625
3626.909912109375,11924.1298828125,106430.0,13138.6103515625
3609.530029296875,11899.33984375,107229.0,13133.4697265625
3567.7900390625,11801.599609375,106483.0,13201.8896484375
3581.8701171875,11904.7099609375,106517.0,13086.16015625
3557.5400390625,11854.9697265625,,13137.25
3577.590087890625,11880.6298828125,107379.0,13126.9697265625
3635.409912109375,12036.7900390625,109786.0,13292.4404296875
3629.64990234375,12094.400390625,110133.0,13289.7998046875
3638.35009765625,12205.849609375,110575.0,13335.6796875
3621.6298828125,12198.740234375,108888.0,13291.16015625
3662.449951171875,12355.1103515625,111335.0,13382.2998046875
3669.010009765625,12349.3701171875,111814.0,13313.240234375
3666.719970703125,12377.1796875,112919.0,13252.8603515625
3699.1201171875,12464.23046875,113682.0,13298.9599609375
3691.9599609375,12519.9501953125,113625.0,13271.0
3702.25,12582.76953125,113571.0,13278.490234375
3672.820068359375,12338.9501953125,112722.0,13340.259765625
3668.10009765625,12405.8095703125,114992.0,13295.73046875
3663.4599609375,12377.8701171875,115323.0,13114.2998046875
3647.489990234375,12440.0400390625,114975.0,13223.16015625
3694.6201171875,12595.0595703125,116146.0,13362.8701171875
3701.169921875,12658.1904296875,117947.0,13565.98046875
3722.47998046875,12764.75,118157.0,13667.25
3709.409912109375,12755.6396484375,117679.0,13630.509765625
3694.919921875,12742.51953125,116016.0,13246.2998046875
3687.260009765625,12807.919921875,116348.0,13418.1103515625
3690.010009765625,12771.1103515625,117857.0,13587.23046875
3703.06005859375,12804.73046875,,
3735.360107421875,12899.419921875,119051.0,13790.2900390625
3727.0400390625,12850.2197265625,119475.0,13761.3798828125
3732.0400390625,12870.0,119306.0,13718.7802734375
3756.070068359375,12888.2802734375,,
3700.64990234375,12698.4501953125,118558.0,13726.740234375
3726.860107421875,12818.9599609375,119223.0,13651.2197265625
3748.139892578125,12740.7900390625,119851.0,13891.9697265625
3803.7900390625,13067.48046875,121956.0,13968.240234375
3824.679931640625,13201.98046875,125077.0,14049.5302734375
3799.610107421875,13036.4296875,122807.0,13936.66015625
3801.18994140625,13072.4296875,123998.0,13925.0595703125
3809.840087890625,13128.9501953125,122040.0,13939.7099609375
3795.5400390625,13112.6396484375,123481.0,13988.7001953125
3768.25,12998.5,120502.0,13787.73046875
3798.909912109375,13197.1796875,120673.0,13815.0595703125
3851.85009765625,13457.25,119708.0,13921.3701171875
3853.070068359375,13530.91015625,118443.0,13906.669921875
3841.469970703125,13543.0595703125,117172.0,13873.9697265625
3855.360107421875,13635.990234375,,13643.9501953125
3849.6201171875,13626.0595703125,116464.0,13870.990234375
3750.77001953125,13270.599609375,115882.0,13620.4599609375
3787.3798828125,13337.16015625,119314.0,13665.9296875
3714.239990234375,13070.6904296875,116007.0,13432.8701171875
3773.860107421875,13403.3896484375,117365.0,13622.01953125
3826.31005859375,13612.7802734375,118234.0,13835.16015625
3830.169921875,13610.5400390625,119725.0,13933.6298828125
3871.739990234375,13777.740234375,119261.0,14060.2900390625
3886.830078125,13856.2998046875,119925.0,14056.7197265625
3915.590087890625,13987.6396484375,119516.0,14059.91015625
3911.22998046875,14007.7001953125,119429.0,14011.7998046875
3909.8798828125,13972.5302734375,118430.0,13932.9697265625
3916.3798828125,14025.76953125,119235.0,14040.91015625
3934.830078125,14095.4697265625,119116.0,14049.8896484375
3932.590087890625,14047.5,,14064.599609375
