btc,nano,bnb,waves,eos
35404.47,2.8266,38.1674,5.6184,2.6663
34051.24,3.4825,38.2541,6.023,2.5969
37371.38,3.55,40.1114,6.3812,2.767
39144.5,3.3312,41.8723,6.4439,2.8089
36742.22,3.1683,40.8668,6.3539,2.7566
35994.98,3.343,43.142,6.6316,2.777
35828.61,3.416,45.8675,7.3768,2.764
36631.27,3.6,45.3412,7.8384,2.8144
35891.49,3.5,42.5241,7.0773,2.7895
35468.23,3.4007,42.6069,7.2094,2.7756
30850.13,2.9162,38.6343,5.9885,2.5451
32945.17,3.1895,40.8936,6.4028,2.6208
32078.0,3.1642,40.9109,6.5923,2.7028
32259.9,3.3679,41.8263,6.9833,2.7135
32254.2,3.1786,41.8347,6.6723,2.6481
32467.77,3.2121,41.8396,6.8288,2.6278
30366.15,2.8974,40.8826,6.0371,2.5001
33364.86,3.9244,42.5254,6.2836,2.709
34252.2,3.871,42.8618,6.5143,2.7232
34262.88,3.6112,44.7849,6.74,2.9319
33092.98,3.4335,44.3292,6.5438,2.9297
33526.37,3.5301,51.4781,7.0187,3.055
35466.24,3.53,51.0071,6.9479,2.9979
37618.87,3.6108,52.12,7.2973,3.0665
36936.66,3.4512,55.9599,7.2465,3.0226
38290.24,3.7809,67.7005,8.8459,3.3128
39186.94,3.6511,72.8356,8.1914,3.2092
38795.69,3.5826,68.3542,8.0508,3.44
46374.87,3.815,79.8374,8.3875,3.5937
46420.42,4.622,107.3469,9.7879,4.1631
44807.58,4.522,128.9711,9.6669,4.126
47969.51,5.9673,124.085,10.4596,4.5833
47287.6,6.7881,136.6139,10.8509,4.7489
47153.69,6.5216,133.3496,11.2315,5.5562
48577.79,5.8506,135.8623,11.8003,5.0667
47911.1,6.362,130.303,10.9669,4.7148
49133.45,6.3725,130.183,11.0666,4.6447
52119.71,6.4016,165.3233,11.4913,4.8441
51552.6,7.47,195.6,12.3607,4.8146
55906.0,7.2115,333.111,12.5462,5.2267
55841.19,6.8795,253.0,12.2604,4.839
